# $ ../../source/project4 -l 2 -E 1 -c 1e7 -e 10
c,E,CV,Mabs,Chi,M,accs,Eraw
4.4004400000000000e+05,-1.9958503300873793e+00,3.3128480259430049e-02,9.9862397309304940e-01,4.0989177288883738e-03,-1.5444112400149987e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.5004500000000000e+05,-1.9958314445955434e+00,3.3278935819012645e-02,9.9861788834671006e-01,4.1164735847942779e-03,-1.4059764107760267e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.6004600000000000e+05,-1.9958612024684972e+00,3.3041861671994965e-02,9.9862837119622982e-01,4.0834498288169208e-03,-1.4713599123548757e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.7004700000000000e+05,-1.9958258693977933e+00,3.3323351352516184e-02,9.9861819682663955e-01,4.1090509179166901e-03,-1.4735723494696173e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.8004800000000000e+05,-1.9958670024727159e+00,3.2995653544031001e-02,9.9862823645578802e-01,4.0900567971027257e-03,-1.5744449930109844e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.9004900000000000e+05,-1.9958533997224717e+00,3.3104025044780272e-02,9.9862664272304302e-01,4.0859989433728039e-03,-1.6412945881968818e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.0005000000000000e+05,-1.9958603394521650e+00,3.3048737224874003e-02,9.9862711257676873e-01,4.0901247120452844e-03,-1.7478666749326555e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.1005100000000000e+05,-1.9958866132593003e+00,3.2839414123683852e-02,9.9863540649593563e-01,4.0667258219611035e-03,-1.6773716674313097e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.2005200000000000e+05,-1.9958695723238271e+00,3.2975179678230049e-02,9.9862703661043417e-01,4.0998125473454827e-03,-1.6840722786384971e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.3005300000000000e+05,-1.9958644942684003e+00,3.3015636222172517e-02,9.9862747243625061e-01,4.0921243232436844e-03,-1.7807861234161693e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.4005400000000000e+05,-1.9958670110824097e+00,3.2995584951150292e-02,9.9862881796887293e-01,4.0865827085223572e-03,-1.8184317973502209e-01,0.0000000000000000e+00,-2.0000000000000000e+00
