# $ ../../source/project4 -E 2.4 -l 100 -c 1e6 -s 0
c,E,CV,Mabs,Chi,M,accs
6.1000000000000000e+04,-1.2042143440271471e+00,1.2208875710874174e+00,1.0739924919263619e-01,3.0583608318279818e+01,2.3217396436123996e-02,2.8110000000000000e+03
6.2000000000000000e+04,-1.2041027273753648e+00,1.2255179203203361e+00,1.0691331430138223e-01,3.0277682552098920e+01,2.2808819212593347e-02,2.7460000000000000e+03
6.3000000000000000e+04,-1.2041040046983380e+00,1.2238089860463515e+00,1.0606854494373105e-01,3.0099059570186373e+01,2.2748445262773608e-02,2.9110000000000000e+03
6.4000000000000000e+04,-1.2040290807956127e+00,1.2227273997354011e+00,1.0616677864408368e-01,2.9939580150098767e+01,2.4037324416805988e-02,2.8740000000000000e+03
6.5000000000000000e+04,-1.2039319702773805e+00,1.2211377125331717e+00,1.0595213304410701e-01,2.9749198057642275e+01,2.2706373748096184e-02,2.7970000000000000e+03
6.6000000000000000e+04,-1.2039159406675657e+00,1.2176127265854222e+00,1.0584919319404250e-01,2.9486437950405904e+01,2.2866359600612111e-02,2.7390000000000000e+03
6.7000000000000000e+04,-1.2040468530320443e+00,1.2198443586394812e+00,1.0715387531529380e-01,3.0309348687350102e+01,2.5107744660527457e-02,2.6240000000000000e+03
6.8000000000000000e+04,-1.2040740812635107e+00,1.2170377051297370e+00,1.0692335406832253e-01,3.0242822510049120e+01,2.5723689357509450e-02,2.8270000000000000e+03
6.9000000000000000e+04,-1.2040253851393459e+00,1.2138046272124889e+00,1.0721832147360183e-01,3.0099968961681299e+01,2.7114682395907305e-02,3.0010000000000000e+03
7.0000000000000000e+04,-1.2040698504307081e+00,1.2091722712324311e+00,1.0830796417194040e-01,3.0302641308098828e+01,2.5485815916915473e-02,2.7300000000000000e+03
7.1000000000000000e+04,-1.2041141110688582e+00,1.2068632863570627e+00,1.0895128237630457e-01,3.0402788486883956e+01,2.4967975098942267e-02,2.7750000000000000e+03
7.2000000000000000e+04,-1.2040732267607395e+00,1.2034893573820593e+00,1.0894138414744238e-01,3.0253928485811308e+01,2.5642491076512827e-02,2.7420000000000000e+03
7.3000000000000000e+04,-1.2040434295420612e+00,1.2011640002024879e+00,1.0890902864344323e-01,3.0187184343320720e+01,2.5320666840180271e-02,2.6430000000000000e+03
7.4000000000000000e+04,-1.2039854866826125e+00,1.2000752676738839e+00,1.0820066485588034e-01,3.0059249945230977e+01,2.4884790746071001e-02,2.8290000000000000e+03
7.5000000000000000e+04,-1.2040829215610458e+00,1.1948755899511485e+00,1.0771705177264303e-01,2.9834942767567991e+01,2.5474404341275451e-02,2.7810000000000000e+03
7.6000000000000000e+04,-1.2041504348626992e+00,1.1912467865945977e+00,1.0735400060525520e-01,2.9608826106790048e+01,2.5349005934132446e-02,2.8060000000000000e+03
7.7000000000000000e+04,-1.2043093466318620e+00,1.1978398333215672e+00,1.0782640225451616e-01,2.9711780264986643e+01,2.4206755756418747e-02,2.7000000000000000e+03
7.8000000000000000e+04,-1.2043393392392405e+00,1.1969832192666623e+00,1.0823868668350406e-01,2.9585920709299874e+01,2.5689662953039063e-02,2.6570000000000000e+03
7.9000000000000000e+04,-1.2042956468905457e+00,1.1948206042607004e+00,1.0778717484588804e-01,2.9426676808181423e+01,2.6060153668940898e-02,2.7980000000000000e+03
8.0000000000000000e+04,-1.2043395057561781e+00,1.1944473444096124e+00,1.0797687278909013e-01,2.9381551254048613e+01,2.6608774890313873e-02,2.7480000000000000e+03
