# $ ./project4 -L 20 -E 1 -c 1E4 -s 1
c,E,CV,Mabs,Chi,M
4.1800000000000000e+03,-1.9828964362592680e+00,2.7508657409137229e+00,9.7312485051423114e-01,7.9412149082067485e+00,9.7312245874192782e-01
4.1900000000000000e+03,-1.9829086136960152e+00,2.7445711285181460e+00,9.7318181818181815e-01,7.9228246675778067e+00,9.7317943211643998e-01
4.2000000000000000e+03,-1.9829397762437515e+00,2.7382617246740848e+00,9.7324327541061650e-01,7.9046022730331602e+00,9.7324089502499400e-01
4.2100000000000000e+03,-1.9829707907860366e+00,2.7319815157700216e+00,9.7330444075041556e-01,7.8864634250257222e+00,9.7330206601757296e-01
4.2200000000000000e+03,-1.9830016583747929e+00,2.7257302997761870e+00,9.7336531627576406e-01,7.8684075510355616e+00,9.7336294716891725e-01
4.2300000000000000e+03,-1.9830276530371072e+00,2.7195571509897127e+00,9.7342472228787513e-01,7.8504160504891480e+00,9.7342235878043015e-01
4.2400000000000000e+03,-1.9830488092431031e+00,2.7133109074732058e+00,9.7348266918179671e-01,7.8324792243513368e+00,9.7348031124734735e-01
4.2500000000000000e+03,-1.9830886850152905e+00,2.7071978890377797e+00,9.7354504822394727e-01,7.8147142905918736e+00,9.7354269583627384e-01
4.2600000000000000e+03,-1.9831283736212157e+00,2.7011123003641844e+00,9.7360713447547520e-01,7.7970296496701481e+00,9.7360478760854263e-01
4.2700000000000000e+03,-1.9831631936314682e+00,2.6950283543934348e+00,9.7366775930695382e-01,7.7794024397524479e+00,9.7366541793490979e-01
4.2800000000000000e+03,-1.9831978509693997e+00,2.6889718682764214e+00,9.7372810091100204e-01,7.7618546610101475e+00,9.7372576500817576e-01
4.2900000000000000e+03,-1.9832370076905150e+00,2.6829678828411851e+00,9.7378932649731997e-01,7.7444078817201811e+00,9.7378699603821961e-01
4.3000000000000000e+03,-1.9832573820041850e+00,2.6768904048475086e+00,9.7384561729830266e-01,7.7269512662065969e+00,9.7384329225761446e-01
4.3100000000000000e+03,-1.9832915796798887e+00,2.6709155633815680e+00,9.7390512642078408e-01,7.7096388027562348e+00,9.7390280677337049e-01
4.3200000000000000e+03,-1.9833302476278638e+00,2.6649921533570158e+00,9.7396551724137936e-01,7.6924254443016249e+00,9.7396320296227723e-01
4.3300000000000000e+03,-1.9833687370122375e+00,2.6590949089807689e+00,9.7402562918494562e-01,7.6752886774565559e+00,9.7402332024936500e-01
4.3400000000000000e+03,-1.9834070490670355e+00,2.6532236576179273e+00,9.7408546417876063e-01,7.6582279928854406e+00,9.7408316056208255e-01
4.3500000000000000e+03,-1.9834451850149393e+00,2.6473782281429159e+00,9.7414502413238335e-01,7.6412428857524359e+00,9.7414272581015871e-01
4.3600000000000000e+03,-1.9834785599633111e+00,2.6415345329380941e+00,9.7420316441183219e-01,7.6243114878542837e+00,9.7420087135977984e-01
