# $ ./project4 -L 2 -E 1 -c 100 -s 1
c,E,CV,Mabs,Chi,M
4.1000000000000000e+01,-1.9523809523809523e+00,3.7188208616780116e-01,9.8809523809523814e-01,2.3242630385487129e-02,9.8809523809523814e-01
4.2000000000000000e+01,-1.9534883720930232e+00,3.6343969713358604e-01,9.8837209302325579e-01,2.2714981070849127e-02,9.8837209302325579e-01
4.3000000000000000e+01,-1.9545454545454546e+00,3.5537190082644621e-01,9.8863636363636365e-01,2.2210743801652555e-02,9.8863636363636365e-01
4.4000000000000000e+01,-1.9555555555555555e+00,3.4765432098765459e-01,9.8888888888888893e-01,2.1728395061727745e-02,9.8888888888888893e-01
4.5000000000000000e+01,-1.9565217391304348e+00,3.4026465028355446e-01,9.8913043478260865e-01,2.1266540642722820e-02,9.8913043478260865e-01
4.6000000000000000e+01,-1.9574468085106382e+00,3.3318243549117277e-01,9.8936170212765961e-01,2.0823902218197965e-02,9.8936170212765961e-01
4.7000000000000000e+01,-1.9583333333333333e+00,3.2638888888888928e-01,9.8958333333333337e-01,2.0399305555555358e-02,9.8958333333333337e-01
4.8000000000000000e+01,-1.9591836734693877e+00,3.1986672219908385e-01,9.8979591836734693e-01,1.9991670137442963e-02,9.8979591836734693e-01
4.9000000000000000e+01,-1.9600000000000000e+00,3.1360000000000099e-01,9.8999999999999999e-01,1.9600000000000062e-02,9.8999999999999999e-01
5.0000000000000000e+01,-1.9607843137254901e+00,3.0757400999615570e-01,9.9019607843137258e-01,1.9223375624759509e-02,9.9019607843137258e-01
5.1000000000000000e+01,-1.9615384615384615e+00,3.0177514792899451e-01,9.9038461538461542e-01,1.8860946745562046e-02,9.9038461538461542e-01
5.2000000000000000e+01,-1.9622641509433962e+00,2.9619081523673962e-01,9.9056603773584906e-01,1.8511925952295893e-02,9.9056603773584906e-01
5.3000000000000000e+01,-1.9629629629629630e+00,2.9080932784636460e-01,9.9074074074074070e-01,1.8175582990398453e-02,9.9074074074074070e-01
5.4000000000000000e+01,-1.9636363636363636e+00,2.8561983471074370e-01,9.9090909090909096e-01,1.7851239669421037e-02,9.9090909090909096e-01
5.5000000000000000e+01,-1.9642857142857142e+00,2.8061224489795933e-01,9.9107142857142860e-01,1.7538265306122458e-02,9.9107142857142860e-01
5.6000000000000000e+01,-1.9649122807017543e+00,2.7577716220375592e-01,9.9122807017543857e-01,1.7236072637734523e-02,9.9122807017543857e-01
5.7000000000000000e+01,-1.9655172413793103e+00,2.7110582639714664e-01,9.9137931034482762e-01,1.6944114149821221e-02,9.9137931034482762e-01
5.8000000000000000e+01,-1.9661016949152543e+00,2.6659006032749133e-01,9.9152542372881358e-01,1.6661878770468430e-02,9.9152542372881358e-01
5.9000000000000000e+01,-1.9666666666666666e+00,2.6222222222222236e-01,9.9166666666666670e-01,1.6388888888888786e-02,9.9166666666666670e-01
6.0000000000000000e+01,-1.9672131147540983e+00,2.5799516259070110e-01,9.9180327868852458e-01,1.6124697661918930e-02,9.9180327868852458e-01
6.1000000000000000e+01,-1.9677419354838710e+00,2.5390218522372443e-01,9.9193548387096775e-01,1.5868886576482666e-02,9.9193548387096775e-01
6.2000000000000000e+01,-1.9682539682539681e+00,2.4993701184177475e-01,9.9206349206349209e-01,1.5621063240110811e-02,9.9206349206349209e-01
6.3000000000000000e+01,-1.9687500000000000e+00,2.4609375000000000e-01,9.9218750000000000e-01,1.5380859375000000e-02,9.9218750000000000e-01
6.4000000000000000e+01,-1.9692307692307693e+00,2.4236686390532469e-01,9.9230769230769234e-01,1.5147928994082793e-02,9.9230769230769234e-01
