# $ ../../source/project4 -E 2.4 -c 1e6 -l 60
c,E,CV,Mabs,Chi,M,accs
5.0000000000000000e+04,-1.2033021561790986e+00,1.1157610741705148e+00,1.5842619814270381e-01,1.8431762465719785e+01,1.3039283658771271e-02,9.7500000000000000e+02
5.1000000000000000e+04,-1.2036955702393635e+00,1.1270891683415818e+00,1.5973809881723453e-01,1.8730559591403733e+01,9.0714452222069707e-03,9.1500000000000000e+02
5.2000000000000000e+04,-1.2036597800469651e+00,1.1286101408719940e+00,1.5980750370185190e-01,1.8659796543113664e+01,1.0149014228358857e-02,1.0170000000000000e+03
5.3000000000000000e+04,-1.2040667366863100e+00,1.1390847033193339e+00,1.6006530275110115e-01,1.8636724531533556e+01,1.3190170416071815e-02,1.0100000000000000e+03
5.4000000000000000e+04,-1.2040566121203515e+00,1.1404717610063848e+00,1.6043829435257373e-01,1.8730153730197163e+01,1.3315586748393549e-02,9.2900000000000000e+02
5.5000000000000000e+04,-1.2039280699946870e+00,1.1392674434176979e+00,1.6009357405622929e-01,1.8573653960785709e+01,1.3378544632521834e-02,9.7400000000000000e+02
5.6000000000000000e+04,-1.2038405464981774e+00,1.1373654130404676e+00,1.5965618669507886e-01,1.8501091010875832e+01,1.3911289282532654e-02,1.0870000000000000e+03
5.7000000000000000e+04,-1.2038224670522351e+00,1.1378838782397065e+00,1.6066652826753527e-01,1.8705571910340613e+01,1.0724694888393772e-02,1.1190000000000000e+03
5.8000000000000000e+04,-1.2038963312893074e+00,1.1386269687527266e+00,1.6021878933121841e-01,1.8616219391055946e+01,1.2585664231842746e-02,9.0000000000000000e+02
5.9000000000000000e+04,-1.2038050202538941e+00,1.1345877755042755e+00,1.5990923882646058e-01,1.8430485282699902e+01,1.2990147059654357e-02,1.0540000000000000e+03
6.0000000000000000e+04,-1.2038901388680558e+00,1.1397713867072188e+00,1.6122893322148332e-01,1.8953719585264338e+01,1.6613991618658206e-02,1.0400000000000000e+03
6.1000000000000000e+04,-1.2038893169328735e+00,1.1366694130412702e+00,1.6075587103307959e-01,1.8847843055319757e+01,1.4746315634169931e-02,9.8900000000000000e+02
6.2000000000000000e+04,-1.2039603303889364e+00,1.1348911428426673e+00,1.5968887598587120e-01,1.8731162511667719e+01,1.3711069176303608e-02,1.1140000000000000e+03
6.3000000000000000e+04,-1.2041227035196971e+00,1.1353245523670561e+00,1.6091681084427231e-01,1.9048498479288224e+01,1.7005585449260948e-02,9.4600000000000000e+02
6.4000000000000000e+04,-1.2044915444029520e+00,1.1396897299156630e+00,1.6344631767906403e-01,1.9622474669900711e+01,2.1586624514547514e-02,1.0420000000000000e+03
6.5000000000000000e+04,-1.2045308704652407e+00,1.1384839179949335e+00,1.6262683992895838e-01,1.9544128152926284e+01,2.0638802138086762e-02,9.9700000000000000e+02
6.6000000000000000e+04,-1.2046227245715133e+00,1.1381702411085881e+00,1.6338863552572436e-01,1.9563463179824659e+01,1.7872119782696896e-02,1.1060000000000000e+03
6.7000000000000000e+04,-1.2046254699349430e+00,1.1383091289448384e+00,1.6351413494657627e-01,1.9448711356418965e+01,1.8871832758715044e-02,9.5400000000000000e+02
6.8000000000000000e+04,-1.2044752936639820e+00,1.1385019526423106e+00,1.6258130190895886e-01,1.9348716303690626e+01,1.7904883751709535e-02,1.0400000000000000e+03
6.9000000000000000e+04,-1.2042930617752723e+00,1.1389949233869427e+00,1.6208168480650040e-01,1.9252340582389142e+01,1.8538080768555690e-02,8.7500000000000000e+02
7.0000000000000000e+04,-1.2043973022607612e+00,1.1375030399581136e+00,1.6204470094871662e-01,1.9303411740728283e+01,1.7194992452488775e-02,1.0440000000000000e+03
7.1000000000000000e+04,-1.2043089846934862e+00,1.1380206468397607e+00,1.6147504964718806e-01,1.9231344306075616e+01,1.8172107122121913e-02,1.0170000000000000e+03
7.2000000000000000e+04,-1.2043148937746235e+00,1.1379460884104728e+00,1.6096640633077627e-01,1.9130374598525314e+01,1.9216770137451794e-02,9.3200000000000000e+02
7.3000000000000000e+04,-1.2043108541892120e+00,1.1348297711728390e+00,1.6052254230916169e-01,1.9033827404567301e+01,1.8105162942973384e-02,8.8700000000000000e+02
7.4000000000000000e+04,-1.2043136053716992e+00,1.1325280710409487e+00,1.6074155904800086e-01,1.9039424710223184e+01,1.5990707332783793e-02,9.7800000000000000e+02
7.5000000000000000e+04,-1.2043075870099511e+00,1.1321783419420015e+00,1.6102054935563823e-01,1.9010400361486287e+01,1.8042959427207638e-02,1.2030000000000000e+03
7.6000000000000000e+04,-1.2043996643319022e+00,1.1304358401334698e+00,1.6057906401816349e-01,1.8950746115391102e+01,1.7506531346809764e-02,9.5700000000000000e+02
7.7000000000000000e+04,-1.2047282502824639e+00,1.1368741472982902e+00,1.6329801633167826e-01,1.9881589824361928e+01,1.2478156849333847e-02,1.0590000000000000e+03
7.8000000000000000e+04,-1.2046967061675848e+00,1.1335406908702557e+00,1.6300020370109214e-01,1.9806076203851578e+01,1.2419342202165500e-02,9.8400000000000000e+02
7.9000000000000000e+04,-1.2046430635899124e+00,1.1319608783511443e+00,1.6239025103760993e-01,1.9742616439073871e+01,1.3546832740513833e-02,1.0800000000000000e+03
8.0000000000000000e+04,-1.2046341226290227e+00,1.1306158596681026e+00,1.6273719495172975e-01,1.9736774581412277e+01,1.1524057338172161e-02,1.0680000000000000e+03
8.1000000000000000e+04,-1.2049650141493453e+00,1.1341072258301996e+00,1.6409798781633697e-01,2.0111475431955107e+01,1.4729269460322164e-02,1.0300000000000000e+03
8.2000000000000000e+04,-1.2048713904572979e+00,1.1324891214654924e+00,1.6365964371708205e-01,2.0031166616622208e+01,1.3031074146792249e-02,9.5600000000000000e+02
8.3000000000000000e+04,-1.2047998752357736e+00,1.1311917265066533e+00,1.6326251089344304e-01,1.9938835387357980e+01,1.3416993637292188e-02,1.1020000000000000e+03
8.4000000000000000e+04,-1.2049427586179531e+00,1.1345958891170196e+00,1.6428643706622539e-01,2.0034390607355583e+01,1.0299077127388695e-02,1.0620000000000000e+03
8.5000000000000000e+04,-1.2047947409769035e+00,1.1360337434499670e+00,1.6331424859053947e-01,1.9986932330701290e+01,9.5323584428418495e-03,1.0340000000000000e+03
8.6000000000000000e+04,-1.2047361464789168e+00,1.1347494250742638e+00,1.6307730271870222e-01,1.9944995937109674e+01,8.5048235873226279e-03,1.0030000000000000e+03
8.7000000000000000e+04,-1.2047858453734248e+00,1.1364093543068767e+00,1.6395133389271388e-01,2.0201143749255305e+01,1.0400416853446129e-02,1.0650000000000000e+03
8.8000000000000000e+04,-1.2048201093674440e+00,1.1340240237642982e+00,1.6342612268294929e-01,2.0124145101927780e+01,1.0399667175499267e-02,9.9800000000000000e+02
